director,qtd_filmes,receita_total_bi,receita_media_mi,receita_mediana_mi,roi_medio,nota_metadata_media,nota_usuarios_media
Kunihiko Yuyama,5,0.21,43.0,44.06,,6.04,0.5
Burr Steers,4,0.21,51.4,32.28,125.61,6.22,3.37
Iain Softley,4,0.21,51.84,53.9,13.09,6.42,3.28
Takashi Yamazaki,4,0.21,52.96,58.06,65.38,6.88,
Jon Avnet,3,0.21,69.84,73.17,321.34,6.4,3.48
Steve McQueen,3,0.21,69.14,17.69,503.6,7.37,3.92
John Huston,10,0.2,19.96,11.38,208.84,6.84,4.06
Richard Fleischer,8,0.2,24.45,10.5,159.82,6.01,3.18
Tsui Hark,8,0.2,25.31,17.95,140.74,6.51,3.53
Michael Moore,7,0.2,29.18,17.44,1137.88,6.86,3.53
Hideaki Anno,5,0.2,39.77,41.16,413.33,7.44,3.76
Nicholas Meyer,4,0.2,48.89,49.15,482.78,6.32,3.51
Penelope Spheeris,4,0.2,50.51,40.17,508.49,6.15,3.09
Spike Jonze,4,0.2,50.78,40.08,63.62,7.22,3.7
Jay Russell,3,0.2,65.59,74.54,69.88,6.3,3.0
Nimród Antal,4,0.19,48.12,29.12,65.1,6.05,2.83
Shekhar Kapur,4,0.19,46.57,52.06,64.73,6.85,4.14
Bong Joon-ho,3,0.19,64.12,86.76,356.01,7.0,3.86
Tom Vaughan,3,0.19,61.71,15.13,165.68,6.17,2.75
William Brent Bell,3,0.19,64.35,64.19,3606.3,5.23,3.25
Richard Benjamin,9,0.18,20.1,13.85,43.25,5.47,2.96
Dwight H. Little,6,0.18,29.32,21.79,148.16,5.6,2.81
Kevin Macdonald,6,0.18,29.7,20.5,288.74,6.85,3.77
Terrence Malick,6,0.18,30.82,15.56,16.45,6.18,3.53
Charles Martin Smith,4,0.18,44.44,37.78,291.65,6.05,3.1
David Koepp,4,0.18,43.89,30.75,36.98,6.12,3.16
Franklin J. Schaffner,4,0.18,44.23,43.33,342.78,7.08,3.89
"George Tillman, Jr.",4,0.18,44.49,45.93,44.68,6.75,3.25
Paul Haggis,4,0.18,45.21,40.35,354.8,6.62,3.89
Simon Wells,4,0.18,45.85,25.17,-9.67,6.07,2.65
Warren Beatty,4,0.18,44.3,34.79,14.95,6.3,3.27
A.R. Murugadoss,3,0.18,58.47,76.0,417.76,6.27,
Danny Cannon,3,0.18,60.37,40.0,-6.77,5.7,2.53
Don Bluth,3,0.18,61.22,84.46,511.85,7.03,3.33
Oliver Parker,3,0.18,61.11,18.54,144.06,6.03,3.08
David Gordon Green,8,0.17,21.59,4.68,9.37,5.86,2.84
John Boorman,8,0.17,21.11,26.24,417.73,6.59,3.62
Paul Mazursky,7,0.17,24.05,24.0,558.44,5.69,3.5
Howard Deutch,6,0.17,28.61,31.39,16.24,6.05,3.22
Michael Hoffman,5,0.17,34.13,35.93,38.18,5.9,3.59
Cecil B. DeMille,4,0.17,42.58,23.75,655.17,6.25,3.66
John Erick Dowdle,4,0.17,42.24,40.48,541.67,6.05,2.58
Ronny Yu,4,0.17,43.14,28.82,111.91,6.12,2.81
Tobe Hooper,4,0.17,41.49,19.44,9314.56,6.38,3.54
Alain Chabat,3,0.17,57.93,48.6,-11.96,6.13,
Angelina Jolie,3,0.17,55.82,3.73,-2.74,6.17,2.5
Bennett Miller,3,0.17,57.13,49.08,224.01,6.8,3.46
Kevin Rodney Sullivan,3,0.17,57.22,65.07,148.92,5.73,3.08
Nigel Cole,3,0.17,55.25,42.89,357.23,6.47,3.42
Scott Stewart,3,0.17,57.13,67.92,270.34,5.57,2.19
Ted Demme,3,0.17,56.02,73.35,17.6,6.83,3.25
Til Schweiger,3,0.17,57.67,48.72,661.06,6.23,4.0
Eli Roth,5,0.16,31.99,30.55,791.03,5.34,2.76
Geoffrey Sax,4,0.16,39.46,32.97,503.93,5.6,1.25
Jared Hess,4,0.16,38.89,37.66,3865.65,5.5,3.03
Nick Castle,4,0.16,40.57,18.92,163.31,6.0,3.0
Steve Pink,4,0.16,41.1,43.75,106.69,5.78,2.7
Brad Furman,3,0.16,54.49,62.62,61.33,6.37,2.5
David Lowery,3,0.16,53.44,15.58,7802.66,6.37,
Lee Daniels,3,0.16,54.94,47.54,216.63,6.5,2.81
Patrick Lussier,3,0.16,54.22,33.0,182.43,5.07,2.81
Alex Kendrick,4,0.15,36.49,33.99,5545.37,6.82,4.67
Francis Veber,4,0.15,37.54,34.96,204.83,6.45,2.8
Jay Chandrasekhar,4,0.15,38.37,18.84,151.61,5.65,2.84
Paul McGuigan,4,0.15,37.25,39.85,14.28,6.4,3.06
Dennis Gansel,3,0.15,49.5,19.0,117.1,6.7,3.38
James Watkins,3,0.15,48.7,14.4,311.68,6.27,3.75
Rohit Shetty,3,0.15,49.34,61.0,365.54,6.6,
Scott Cooper,3,0.15,51.23,39.46,173.41,6.53,3.76
John Schlesinger,6,0.14,23.32,23.04,319.84,5.18,3.63
Carl Franklin,5,0.14,27.7,16.14,7.54,6.32,3.45
Richard Loncraine,5,0.14,27.01,7.24,11.64,5.78,2.71
Rob Zombie,5,0.14,27.69,16.83,133.6,5.4,3.42
Griffin Dunne,4,0.14,34.13,33.56,201.44,5.52,2.39
Jean-Marc Vallée,4,0.14,34.27,39.96,288.02,7.15,3.85
Don Roos,3,0.14,48.22,36.78,87.56,5.8,3.31
Jeremiah S. Chechik,3,0.14,47.7,48.59,72.56,6.13,3.09
Richard Attenborough,3,0.14,47.56,50.75,192.02,6.83,3.51
Sidney Poitier,3,0.14,45.94,24.71,16757.14,6.3,3.5
Stuart Rosenberg,3,0.14,46.59,37.12,440.59,7.0,3.63
Neil LaBute,6,0.13,21.71,18.88,20.67,5.65,2.32
Peter Yates,6,0.13,21.68,19.39,339.06,6.57,3.18
Craig Gillespie,4,0.13,31.66,31.61,14.76,6.5,3.22
Fernando Meirelles,4,0.13,33.65,25.24,345.93,6.8,3.87
Niki Caro,4,0.13,31.37,33.31,118.46,7.12,3.73
Oliver Hirschbiegel,4,0.13,32.29,18.42,122.19,6.42,3.49
Reginald Hudlin,4,0.13,31.78,21.66,236.54,5.55,2.77
James Marsh,3,0.13,42.37,2.96,315.76,7.0,3.5
Mike Flanagan,3,0.13,43.01,44.03,794.22,6.1,2.83
Robert Iscove,3,0.13,42.91,20.63,300.54,4.7,3.34
Stanley Kramer,3,0.13,42.22,56.67,696.1,7.4,3.8
David Lynch,9,0.12,12.87,8.55,8786.69,7.36,3.53
Wong Kar-wai,5,0.12,23.63,19.27,579.49,6.88,3.69
Barbet Schroeder,4,0.12,30.85,31.73,73.64,6.48,2.92
Fyodor Bondarchuk,4,0.12,29.96,22.92,79.85,5.55,
Jane Campion,4,0.12,31.21,4.07,473.13,6.22,2.25
John Milius,4,0.12,30.48,20.4,281.11,6.4,3.04
Nicholas Hytner,4,0.12,29.72,29.29,258.28,6.25,3.79
Tamra Davis,4,0.12,30.76,22.22,230.88,5.88,2.94
Tom McCarthy,4,0.12,29.23,9.94,658.69,7.2,3.76
David Wain,3,0.12,38.95,24.16,34.95,6.03,2.73
Denzel Washington,3,0.12,39.34,30.23,118.95,6.77,3.31
John Wells,3,0.12,38.56,36.61,70.78,6.53,2.5
Lawrence Kasdan,3,0.12,41.61,25.05,-24.44,6.27,3.23
Miguel Arteta,3,0.12,41.46,16.86,185.09,6.03,3.29
Patricia Riggen,3,0.12,40.7,24.9,180.69,6.6,4.0
Peter Webber,3,0.12,38.99,31.47,64.34,6.17,3.0
Robert Benton,3,0.12,39.22,5.74,587.75,6.27,3.32
Stan Dragoti,3,0.12,40.24,43.88,,5.67,3.66
Zach Braff,3,0.12,38.96,26.78,403.15,6.7,3.63
Sam Peckinpah,8,0.11,13.5,5.74,253.54,6.79,3.38
Don Siegel,6,0.11,18.65,12.37,418.62,6.82,2.97
Mark Rydell,6,0.11,18.66,20.31,21.95,6.53,3.57
William Dear,5,0.11,22.41,7.79,-68.97,5.8,2.78
Franco Zeffirelli,4,0.11,28.28,26.75,75.01,6.2,3.32
Hugh Hudson,4,0.11,26.61,23.55,436.76,6.18,3.72
John Stockwell,4,0.11,28.41,30.68,7.05,5.7,2.7
S. Shankar,4,0.11,27.88,20.5,130.16,6.65,
Anton Corbijn,3,0.11,35.06,31.55,168.84,6.6,2.42
Daniel Alfredson,3,0.11,37.71,43.5,987.45,6.57,3.11
Danny DeVito,3,0.11,36.9,33.46,84.98,6.27,2.95
Jeff Wadlow,3,0.11,37.46,41.63,376.57,6.13,2.86
Jodie Foster,3,0.11,37.26,17.52,75.06,6.33,2.55
Kimberly Peirce,3,0.11,35.05,11.54,198.84,6.37,3.7
Stephen Gaghan,3,0.11,37.32,10.72,-10.99,5.83,3.34
Thomas Gilou,3,0.11,37.69,40.92,312.29,6.0,
Billy Wilder,11,0.1,8.68,5.0,285.63,7.68,3.82
Andrei Konchalovsky,6,0.1,16.15,6.31,-2.87,5.33,3.54
Alejandro Amenábar,5,0.1,19.65,17.67,23.13,6.8,3.69
Bernardo Bertolucci,5,0.1,20.44,15.12,541.15,6.82,3.55
Mark L. Lester,5,0.1,19.05,15.95,79.5,5.92,3.22
Michael Lehmann,5,0.1,19.26,7.99,-81.9,5.72,3.05
Mike Figgis,5,0.1,20.67,21.38,597.17,6.02,2.22
John Hillcoat,4,0.1,24.75,20.14,52.11,6.57,3.13
Jonathan Kaplan,4,0.1,25.98,16.89,34.46,5.7,3.08
Lone Scherfig,4,0.1,24.95,19.14,160.36,6.72,3.92
Matthew Robbins,4,0.1,24.45,14.81,-21.61,6.22,2.57
Bryan Spicer,3,0.1,34.05,31.61,165.16,5.07,2.13
Craig Brewer,3,0.1,32.67,23.56,110.67,6.63,3.08
David E. Talbert,3,0.1,34.58,38.8,157.06,5.43,
David S. Ward,3,0.1,34.49,30.63,352.7,5.97,2.67
John Carney,3,0.1,32.6,20.71,4592.66,7.57,3.85
Michael Pressman,3,0.1,33.75,19.1,212.0,5.63,2.63
Robert Aldrich,3,0.1,32.55,43.01,707.84,6.63,3.67
Xavier Gens,3,0.1,33.34,0.02,108.62,5.43,2.5
John Ford,10,0.09,8.52,4.2,174.15,6.76,3.92
Lars von Trier,8,0.09,10.75,3.02,31.11,7.01,3.83
James Ivory,7,0.09,12.77,12.99,132.76,6.24,3.37
Nicolas Winding Refn,5,0.09,18.4,2.26,247.65,6.44,3.35
Steve Rash,5,0.09,17.31,14.36,644.86,6.06,3.3
Arthur Penn,4,0.09,21.79,17.03,812.8,7.25,3.96
Karan Johar,4,0.09,21.41,16.15,387.42,7.02,3.0
Michael Cimino,4,0.09,23.47,20.2,39.73,6.85,3.53
Paul Michael Glaser,4,0.09,22.28,23.06,6.71,6.25,2.97
Rick Famuyiwa,4,0.09,22.95,23.23,770.54,6.75,2.32
Akiva Schaffer,3,0.09,30.7,14.33,0.39,6.07,2.5
John Schultz,3,0.09,31.55,22.59,60.62,5.4,3.04
Sanjay Leela Bhansali,3,0.09,29.58,32.0,187.18,7.33,4.5
Sean Penn,3,0.09,28.62,29.4,53.92,6.87,3.56
Mira Nair,8,0.08,9.43,7.24,-13.68,6.35,3.16
Brad Anderson,6,0.08,14.14,3.5,53.33,6.42,3.42
Fred Schepisi,6,0.08,13.57,8.15,-53.94,6.25,3.22
Martin Ritt,6,0.08,13.85,11.0,77.5,6.47,3.65
Peter Bogdanovich,6,0.08,13.18,2.96,484.28,6.5,3.72
Andrew Fleming,5,0.08,16.5,20.44,55.46,5.84,2.73
Mark Pellington,5,0.08,16.32,1.83,61.96,6.0,3.54
Michael Haneke,5,0.08,16.74,9.8,138.32,6.98,3.62
Michael Winner,5,0.08,16.98,16.95,957.2,6.34,2.52
Roland Joffé,5,0.08,15.92,14.68,-19.63,6.16,3.42
Fred Zinnemann,4,0.08,19.91,20.58,909.25,7.42,3.88
Karyn Kusama,4,0.08,21.03,15.89,40.8,5.52,2.68
Ted Post,4,0.08,20.97,18.65,847.03,6.42,3.14
Charles Stone III,3,0.08,27.49,21.8,80.31,5.87,2.75
Derek Cianfrance,3,0.08,26.0,25.96,179.89,6.87,3.82
Gina Prince-Bythewood,3,0.08,26.82,27.73,131.3,7.3,3.58
John Herzfeld,3,0.08,26.81,23.65,-52.1,5.73,1.72
Mark Rosman,3,0.08,26.89,10.6,879.69,5.97,3.5
Mary Lambert,3,0.08,26.59,17.09,149.39,5.37,2.58
Michael Anderson,3,0.08,27.24,25.0,307.69,6.2,3.33
Sanaa Hamri,3,0.08,25.76,21.52,64.27,6.1,2.92
J. Lee Thompson,6,0.07,11.13,9.27,246.64,5.83,3.28
Stanley Donen,6,0.07,12.45,10.34,169.42,5.68,3.8
John Dahl,5,0.07,14.83,10.17,-10.26,6.52,4.01
Todd Haynes,5,0.07,14.99,4.0,105.03,6.82,3.77
Brett Leonard,4,0.07,17.12,18.12,21.1,4.95,3.01
George Stevens,4,0.07,18.27,17.74,316.03,7.1,3.88
James Gray,4,0.07,18.13,7.22,-11.74,6.35,3.25
John Crowley,4,0.07,18.47,5.3,230.73,6.62,4.42
John Flynn,4,0.07,17.6,13.23,87.73,6.1,
King Vidor,4,0.07,16.77,16.45,2342.98,6.35,4.33
Randa Haines,4,0.07,17.56,16.07,217.67,6.2,3.56
Rick Rosenthal,4,0.07,18.64,17.36,555.54,5.52,3.1
Anees Bazmee,3,0.07,21.87,25.0,4.93,5.83,
Billy Ray,3,0.07,23.68,33.23,13.91,6.43,3.82
Jack Smight,3,0.07,22.57,12.0,553.61,5.6,2.64
Kevin Hooks,3,0.07,22.98,17.19,81.27,5.47,2.75
Phil Joanou,3,0.07,24.59,28.59,38.27,6.2,4.0
Steven Zaillian,3,0.07,24.47,9.45,-50.91,6.37,3.54
Park Chan-wook,6,0.06,9.86,8.22,68.0,7.4,3.52
Ralph Bakshi,6,0.06,10.31,7.5,256.03,6.23,3.16
Davis Guggenheim,5,0.06,11.77,2.96,1464.54,6.26,3.36
Ernest R. Dickerson,5,0.06,12.74,7.69,73.58,5.7,2.25
Ken Russell,5,0.06,11.33,1.19,188.32,6.06,2.61
Mani Ratnam,5,0.06,11.86,6.0,269.09,6.02,
Martha Coolidge,5,0.06,11.02,11.45,2419.43,6.02,3.38
Mike Leigh,5,0.06,11.25,13.42,162.35,6.86,3.72
Richard Brooks,5,0.06,12.7,13.01,334.66,6.84,3.38
Christian Duguay,4,0.06,15.29,12.59,-56.06,5.32,3.03
Jim Jarmusch,4,0.06,14.45,5.03,86.02,7.05,3.5
Julian Jarrold,4,0.06,14.91,11.05,46.08,6.42,3.25
Robert Lieberman,4,0.06,14.98,17.27,-35.16,5.55,2.0
Tony Bill,4,0.06,15.22,18.35,-78.07,6.5,2.52
Walter Salles,4,0.06,14.15,12.77,4.35,6.4,3.55
Adam Wingard,3,0.06,20.63,14.35,375.4,6.0,3.66
Bob Fosse,3,0.06,21.43,20.0,150.0,6.63,3.12
Christopher Cain,3,0.06,20.23,15.83,137.97,5.5,2.84
Don Taylor,3,0.06,18.51,16.65,341.97,6.17,2.56
Joseph Zito,3,0.06,20.0,22.81,838.51,5.33,2.5
Michael J. Bassett,3,0.06,20.79,7.81,39.43,5.53,
Rian Johnson,3,0.06,18.83,5.53,236.52,6.73,3.33
Sheldon Lettich,3,0.06,19.15,24.08,118.9,6.0,2.75
David Mackenzie,6,0.05,8.86,1.7,17.69,6.52,3.25
Daniel Petrie,5,0.05,9.91,3.91,43.0,5.82,2.44
Albert Pyun,4,0.05,13.23,6.28,1405.44,4.88,
Michael Schultz,4,0.05,13.12,9.96,142.17,5.4,4.0
Andrew Dominik,3,0.05,17.63,14.71,50.96,6.5,3.44
Bob Rafelson,3,0.05,16.69,24.85,155.22,5.5,2.5
Brian G. Hutton,3,0.05,18.2,21.0,101.36,6.77,2.94
Carol Reed,3,0.05,17.47,14.4,267.02,7.1,3.91
Cary Fukunaga,3,0.05,16.3,9.08,51.3,7.3,4.08
Cédric Klapisch,3,0.05,17.06,23.55,26.67,6.77,3.42
Daniel Barnz,3,0.05,16.95,5.31,43.82,5.97,3.25
David Seltzer,3,0.05,16.95,21.03,38.44,5.9,3.74
Dennis Hopper,3,0.05,16.5,1.6,676.93,5.9,2.63
Douglas McGrath,3,0.05,17.98,22.23,68.9,6.03,2.41
Fatih Akin,3,0.05,15.57,17.8,313.0,6.97,4.58
Graham Baker,3,0.05,18.05,20.47,4.31,5.27,2.86
Greg McLean,3,0.05,16.1,10.9,956.37,5.5,3.0
James Fargo,3,0.05,17.63,6.66,1006.86,6.23,4.3
Jaume Balagueró,3,0.05,16.37,18.47,1079.84,6.27,3.33
John Derek,3,0.05,15.17,8.91,27.36,3.23,0.5
John Irvin,3,0.05,15.33,15.94,61.78,5.67,2.0
Mario Van Peebles,3,0.05,18.27,6.83,460.29,6.47,3.25
Richard Eyre,3,0.05,17.13,1.14,68.72,6.33,2.75
Shari Springer Berman,3,0.05,18.06,6.0,22.58,6.37,3.08
Paul Schrader,8,0.04,4.96,1.65,7.07,5.94,3.39
Howard Hawks,7,0.04,6.2,5.8,432.69,7.3,3.58
Dito Montiel,5,0.04,7.44,0.52,-66.92,5.82,3.5
Frank Capra,5,0.04,7.24,7.43,490.45,7.62,3.99
John Sturges,5,0.04,7.7,6.33,178.96,7.1,3.82
Michael Curtiz,5,0.04,7.56,5.64,360.69,7.14,4.0
François Ozon,4,0.04,9.2,6.75,187.71,6.85,3.7
Jeff Nichols,4,0.04,9.97,7.6,3.09,6.7,3.23
John Hough,4,0.04,10.38,10.7,,5.9,3.25
Mary Harron,4,0.04,9.37,1.61,389.52,6.2,3.74
Sergio Leone,4,0.04,10.21,10.25,2489.11,7.9,3.96
Anand Tucker,3,0.04,13.84,11.59,35.08,6.33,3.66
Ashutosh Gowariker,3,0.04,12.43,13.0,39.49,7.17,3.69
Barry W. Blaustein,3,0.04,13.65,0.5,-75.65,6.2,2.38
Dmitriy Dyachenko,3,0.04,11.7,12.01,295.84,6.57,
Gautham Vasudev Menon,3,0.04,14.0,14.0,256.4,7.27,
George T. Miller,3,0.04,12.75,16.28,220.58,6.03,3.24
J.C. Chandor,3,0.04,12.54,12.01,128.39,6.6,3.5
Jocelyn Moorhouse,3,0.04,14.15,18.34,94.74,6.57,3.39
Joe Roth,3,0.04,12.43,14.66,-61.09,5.53,1.0
Nicole Holofcener,3,0.04,14.28,13.37,840.22,6.0,2.83
Peter Sollett,3,0.04,12.12,2.82,142.19,7.1,3.14
Rakeysh Omprakash Mehra,3,0.04,14.92,11.5,433.16,6.7,
Robert Mandel,3,0.04,12.21,14.72,,6.6,3.72
Rod Lurie,3,0.04,12.72,10.32,-72.9,6.47,2.8
Stewart Hendler,3,0.04,12.92,6.27,8.14,5.53,
Charlie Chaplin,6,0.03,4.42,2.5,141666879.88,7.67,4.18
Ken Loach,6,0.03,5.69,1.82,252.14,6.88,2.0
Noah Baumbach,6,0.03,5.35,5.11,307.88,6.57,3.28
Bernard Rose,5,0.03,5.49,0.79,116.06,6.2,3.06
Costa-Gavras,5,0.03,6.2,6.26,-78.92,6.86,3.69
Elia Kazan,4,0.03,6.35,7.9,497.35,7.48,4.0
Ferzan Ozpetek,4,0.03,7.31,6.74,17.43,6.98,
George Sidney,4,0.03,8.16,7.45,201.73,7.02,3.5
Isabel Coixet,4,0.03,8.23,7.29,-24.04,6.6,3.62
James Ponsoldt,4,0.03,7.68,4.93,54.46,6.45,3.88
Julian Schnabel,4,0.03,8.04,5.77,21.46,6.45,3.58
Paolo Sorrentino,4,0.03,8.36,9.82,-28.9,7.05,3.0
Ram Gopal Varma,4,0.03,7.16,5.95,294.63,5.95,
Randall Miller,4,0.03,7.69,2.19,-14.83,6.38,3.15
Asif Kapadia,3,0.03,9.54,8.41,-20.05,6.9,3.8
Don Coscarelli,3,0.03,11.11,11.99,2019.46,6.27,3.94
Hal Ashby,3,0.03,11.0,1.88,-94.43,5.6,4.09
Ken Annakin,3,0.03,11.45,3.57,137.54,6.33,3.25
Marius Balchunas,3,0.03,9.67,9.71,192.06,4.87,
Mike Hodges,3,0.03,9.68,1.43,-49.34,5.83,3.04
Peter Medak,3,0.03,11.48,12.0,-58.38,5.73,3.3
Prachya Pinkaew,3,0.03,10.16,3.3,352.76,6.43,3.5
Richard Kelly,3,0.03,11.66,1.27,-55.17,6.1,3.43
Robert Greenwald,3,0.03,8.76,3.79,12.36,4.9,3.25
Sarik Andreasyan,3,0.03,9.87,9.94,310.59,3.97,
Stacy Title,3,0.03,9.05,0.44,80.44,5.27,2.42
Terry Jones,3,0.03,9.08,7.2,154.73,6.1,4.43
Uli Edel,3,0.03,9.66,13.27,-47.06,5.2,1.75
Uwe Boll,3,0.03,8.89,10.44,-13.59,3.17,0.75
Wim Wenders,7,0.02,3.13,1.06,47.9,6.54,3.5
Aaron Norris,4,0.02,5.66,5.64,-15.1,4.92,3.0
Andrew Lau,4,0.02,3.96,3.57,129.07,6.35,4.17
David Mamet,4,0.02,6.16,5.35,-9.75,6.55,3.8
James Toback,4,0.02,5.19,3.65,15.58,4.9,2.94
John Waters,4,0.02,6.0,6.91,12437.02,6.1,3.52
Michael Dowse,4,0.02,5.34,6.71,-62.06,6.62,3.56
Michael Polish,4,0.02,4.01,2.44,-35.53,5.6,3.0
Michael Winterbottom,4,0.02,5.46,1.26,-6.15,6.35,4.0
Pablo Larraín,4,0.02,4.32,1.64,55.12,6.55,
Richard Rich,4,0.02,5.54,5.02,-62.04,5.6,2.6
Steve Carver,4,0.02,5.63,4.75,55.67,5.88,
Susanne Bier,4,0.02,4.61,4.13,-0.03,6.1,
Werner Herzog,4,0.02,6.14,6.82,-42.94,6.9,3.45
Christopher Guest,3,0.02,8.14,5.54,20.34,6.13,3.56
Franc Roddam,3,0.02,6.15,3.56,,5.87,
Henry Hathaway,3,0.02,8.32,8.5,302.86,6.7,3.18
Jesse Peretz,3,0.02,6.8,3.09,-6.88,4.63,3.67
John Curran,3,0.02,5.47,4.88,-44.5,6.0,3.0
John Sayles,3,0.02,5.65,2.0,10.79,7.03,3.87
Julie Delpy,3,0.02,7.15,1.65,-79.33,5.67,2.5
Kazuaki Kiriya,3,0.02,7.06,3.64,1.64,6.23,1.5
Louis Malle,3,0.02,6.84,7.53,76.8,7.0,3.68
Mamoru Oshii,3,0.02,6.97,8.83,10.33,7.3,4.03
Martin Davidson,3,0.02,8.24,4.79,2400.0,6.23,3.42
Mike Judge,3,0.02,8.06,10.85,-11.49,6.47,3.23
Priyadarshan,3,0.02,6.67,10.0,53.62,5.43,
Robert Mulligan,3,0.02,5.33,2.85,236.3,7.17,3.71
Shinji Aramaki,3,0.02,6.53,1.46,257.25,6.7,4.5
Takashi Miike,3,0.02,6.76,2.73,82.16,6.4,2.9
Tony Kaye,3,0.02,7.98,0.07,19.38,7.87,4.51
Abel Ferrara,7,0.01,1.2,1.23,-1.36,6.13,3.36
Corey Yuen Kwai,5,0.01,2.44,2.97,-97.71,5.86,4.0
Deepa Mehta,5,0.01,2.52,0.53,-97.05,5.92,4.0
Kim Ki-duk,5,0.01,2.03,0.02,1679.98,7.0,3.29
Steve James,5,0.01,1.76,0.28,463.02,6.3,3.42
Andrea Arnold,4,0.01,1.33,1.44,-60.07,6.42,4.25
Atom Egoyan,4,0.01,3.7,2.63,-39.16,6.48,3.1
Roger Corman,4,0.01,1.55,1.47,555.13,6.45,3.67
Stuart Gordon,4,0.01,2.91,1.82,-14.12,6.2,3.77
Adam Rifkin,3,0.01,4.08,4.22,-52.16,6.07,3.0
Agnieszka Holland,3,0.01,1.97,0.34,,7.0,3.0
Alex Cox,3,0.01,1.79,2.3,-23.86,6.7,4.05
Anurag Kashyap,3,0.01,2.2,1.5,65.16,6.5,
Arnaud Desplechin,3,0.01,2.55,0.27,-99.7,6.53,
Darrell James Roodt,3,0.01,2.37,3.03,,5.73,2.46
Dominik Moll,3,0.01,1.81,0.81,-92.66,6.47,4.0
Drake Doremus,3,0.01,1.88,2.08,614.98,6.17,
Edward Burns,3,0.01,3.96,2.4,155.59,5.63,2.7
Gillian Armstrong,3,0.01,4.5,4.39,-58.1,5.97,1.67
Henry King,3,0.01,3.08,3.22,33.39,5.77,4.75
Jay Oliva,3,0.01,4.75,5.16,47.3,6.27,
Jeff Burr,3,0.01,2.9,1.52,27.27,5.9,3.25
Larry Clark,3,0.01,2.84,0.63,394.15,6.63,3.82
Michael Corrente,3,0.01,2.81,0.67,-45.05,5.87,3.03
Mike Mills,3,0.01,4.36,5.33,24.87,6.77,3.0
Rodman Flender,3,0.01,2.21,2.26,-35.18,5.7,2.93
Ryan Fleck,3,0.01,3.84,4.91,291.4,6.43,3.38
Sam Liu,3,0.01,4.62,3.78,7.86,6.37,
Scott McGehee,3,0.01,2.68,1.07,-66.62,6.2,3.12
Stewart Raffill,3,0.01,3.41,3.75,-71.14,4.17,
Teddy Chan,3,0.01,3.27,3.85,-86.37,6.3,
Terence Davies,3,0.01,2.72,1.86,-62.72,6.57,3.38
Udayan Prasad,3,0.01,2.24,0.41,-97.89,5.37,2.0
Vincente Minnelli,3,0.01,3.02,2.96,62.58,6.87,3.48
Eloy de la Iglesia,7,0.0,0.69,0.65,,5.81,
Ben Wheatley,6,0.0,0.7,0.12,-65.98,6.07,3.38
Gregg Araki,6,0.0,0.36,0.04,,6.18,3.07
Jean-Luc Godard,6,0.0,0.14,0.07,-21.92,7.17,4.14
Akira Kurosawa,4,0.0,1.12,0.18,-70.8,8.05,4.36
Aleksey Balabanov,4,0.0,0.55,0.47,-78.72,6.55,
Alex Gibney,4,0.0,0.44,0.44,-72.53,6.52,4.25
Olivier Assayas,4,0.0,1.03,1.09,-81.79,6.25,
Oren Moverman,4,0.0,1.0,1.15,-84.25,5.5,3.5
Abderrahmane Sissako,3,0.0,0.4,0.11,-94.45,5.77,
Bruce McDonald,3,0.0,0.12,0.03,-96.68,6.5,3.88
Clarence Brown,3,0.0,1.37,1.44,60.58,5.67,
Cristian Mungiu,3,0.0,0.55,0.34,-21.86,7.1,4.38
François Truffaut,3,0.0,0.17,0.04,-94.03,7.5,4.17
Gaspar Noé,3,0.0,0.33,0.25,-92.95,6.5,4.21
Godfrey Reggio,3,0.0,0.78,0.59,-88.0,7.07,2.81
Jamie Babbit,3,0.0,1.0,0.38,-13.03,6.2,3.2
Jim Mickle,3,0.0,0.18,0.08,-94.89,6.0,3.0
Kirby Dick,3,0.0,0.28,0.3,,6.93,4.1
Lynn Shelton,3,0.0,1.43,1.07,2460.0,5.93,3.33
Mamoru Hosoda,3,0.0,1.46,0.49,,7.7,3.94
Michael Cuesta,3,0.0,1.4,1.67,3.7,6.77,3.5
Mike Cahill,3,0.0,1.05,1.03,1676.94,6.93,3.42
Satyajit Ray,3,0.0,0.24,0.17,,8.0,4.06
Sterling Van Wagenen,3,0.0,1.12,1.33,-74.23,6.6,
Ti West,3,0.0,0.05,0.05,-94.66,5.57,2.75
Tod Browning,3,0.0,0.88,0.92,341.41,6.4,4.11
Ulrich Seidl,3,0.0,0.01,0.01,-99.33,6.43,
Xavier Dolan,3,0.0,1.19,0.06,-64.28,7.77,
