director,qtd_filmes,receita_total_bi,receita_media_mi,receita_mediana_mi,roi_medio,nota_metadata_media,nota_usuarios_media
Kenneth Branagh,7,1.19,170.58,50.55,141.43,6.26,2.95
Phillip Noyce,11,1.18,107.51,116.3,135.65,6.22,3.18
Tim Story,8,1.18,147.14,110.45,318.99,5.91,2.27
John McTiernan,8,1.17,146.3,130.8,232.99,6.79,3.36
Antoine Fuqua,10,1.15,114.59,100.29,98.55,6.54,3.12
McG,6,1.15,191.29,208.08,97.51,5.88,2.76
Mel Gibson,5,1.14,228.43,175.3,667.51,7.18,3.57
Scott Derrickson,4,1.13,283.19,188.66,912.89,6.35,2.83
Jon M. Chu,6,1.12,186.28,155.05,341.46,5.9,1.83
Phil Lord,4,1.1,275.54,222.29,370.44,6.92,3.91
Renny Harlin,16,1.09,68.13,56.62,78.84,5.7,2.78
David Ayer,6,1.09,182.43,56.85,250.22,6.43,3.45
Robert Rodriguez,15,1.08,72.32,40.28,203.82,5.81,2.72
Michael Apted,11,1.08,98.63,17.38,151.72,6.23,3.44
Simon West,7,1.08,154.45,149.71,139.97,5.89,3.06
Peter Segal,8,1.07,133.15,156.81,110.42,6.08,2.76
Brian De Palma,19,1.06,55.7,31.9,182.52,6.49,3.16
Rob Minkoff,6,1.06,176.06,176.12,75.58,5.92,2.87
Peyton Reed,5,1.06,212.21,205.0,199.51,6.18,2.96
Joel Coen,13,1.05,81.13,60.61,290.13,7.05,3.74
Michael Mann,11,1.04,94.63,75.51,51.8,6.65,3.3
Paul Verhoeven,8,1.03,128.44,87.11,154.93,6.46,3.01
Guillermo del Toro,8,1.01,126.52,91.29,106.89,6.61,3.09
Matthew Vaughn,5,1.01,202.31,135.56,190.41,7.2,3.78
Kevin Lima,4,1.01,251.86,262.05,205.08,6.38,3.03
Sydney Pollack,10,1.0,99.77,68.21,269.21,6.4,3.29
Hayao Miyazaki,7,1.0,142.27,159.38,592.67,7.89,4.15
Woody Allen,27,0.99,36.81,20.17,303.7,6.96,3.45
Frank Coraci,7,0.99,140.8,123.49,294.75,6.0,2.56
Chris Wedge,4,0.98,244.22,264.56,229.3,6.38,3.22
Jonathan Liebesman,3,0.98,326.89,301.0,190.56,5.6,1.83
Hamilton Luske,4,0.97,241.45,154.74,9135.33,6.9,3.56
Rob Reiner,15,0.96,63.93,52.29,172.58,6.75,3.56
Francis Ford Coppola,14,0.95,68.04,43.65,414.28,6.96,3.39
Lasse Hallström,13,0.95,72.96,50.89,287.87,6.74,3.49
Brad Peyton,4,0.95,236.25,234.09,184.28,5.45,2.58
Robert Schwentke,6,0.93,155.4,140.24,111.34,6.15,2.5
Christopher McQuarrie,3,0.92,306.6,218.34,247.93,6.6,3.23
Tom Hooper,3,0.92,306.74,414.21,1204.54,7.4,3.75
Paul Feig,4,0.91,227.97,232.41,344.51,6.3,2.49
Andrew Davis,9,0.89,99.17,60.21,158.38,6.02,3.12
Andy Tennant,6,0.89,148.52,123.62,275.91,6.0,3.04
John Glen,6,0.89,148.47,171.83,379.01,5.82,3.38
D.J. Caruso,7,0.88,126.16,117.76,149.15,6.17,3.36
Alejandro González Iñárritu,6,0.88,146.33,81.82,471.42,7.25,3.75
Adam Shankman,8,0.87,109.2,103.87,181.52,6.04,3.08
Olivier Megaton,4,0.87,217.96,217.38,407.56,6.15,1.93
Peter Weir,10,0.86,85.96,25.12,303.59,6.95,3.7
Adam McKay,6,0.86,143.18,148.16,194.03,6.47,3.35
Nora Ephron,5,0.86,171.86,131.43,387.28,5.94,3.13
Gary Ross,3,0.86,288.19,148.34,280.73,6.77,3.6
Wes Craven,15,0.85,56.65,19.83,1055.86,5.97,3.09
Betty Thomas,5,0.85,170.68,41.23,185.72,5.7,2.91
John Landis,10,0.84,83.52,61.19,639.0,6.47,3.29
Adrian Lyne,8,0.84,104.62,59.44,713.55,6.32,3.27
Mark Waters,9,0.82,91.49,102.85,158.32,5.96,2.97
Brian Levant,6,0.82,136.88,113.88,199.66,5.2,2.48
Mike Nichols,10,0.81,80.59,77.43,575.0,6.79,3.86
Kevin Reynolds,7,0.81,115.74,46.07,118.67,6.37,3.14
Chuck Russell,5,0.81,162.45,165.33,497.15,6.06,2.77
Danny Boyle,10,0.8,79.56,35.07,530.53,6.95,3.57
David Frankel,7,0.79,112.95,87.42,244.18,6.33,3.05
Len Wiseman,4,0.79,197.35,155.07,191.36,6.3,3.14
Roger Donaldson,12,0.78,65.02,35.04,151.47,6.05,3.03
Luc Besson,11,0.78,70.99,45.28,61.59,6.63,3.35
David Slade,3,0.78,260.34,75.51,572.69,6.3,2.91
Brad Silberling,6,0.77,129.16,133.69,140.56,6.27,2.99
David O. Russell,6,0.77,129.06,104.57,317.45,6.72,3.33
Alex Proyas,5,0.77,154.91,150.68,187.06,6.46,3.33
Cameron Crowe,8,0.76,95.15,49.71,121.26,6.52,3.62
Darren Aronofsky,6,0.76,126.84,30.0,1422.22,6.98,3.46
Baz Luhrmann,5,0.76,152.21,147.3,472.24,6.78,3.31
Irvin Kershner,4,0.76,191.02,102.84,862.94,6.32,3.22
Lee Tamahori,7,0.74,105.08,71.07,48.19,6.2,3.07
Jerry Zucker,4,0.74,184.64,106.55,633.22,6.45,3.34
Jonathan Mostow,4,0.74,183.82,125.06,78.95,6.12,3.04
Stephen Chow,4,0.74,186.2,74.11,608.32,6.52,3.68
Garth Jennings,3,0.74,247.93,104.48,307.99,6.7,3.4
Louis Leterrier,7,0.72,102.75,85.17,58.94,6.3,2.97
Tim Hill,5,0.72,144.12,141.7,176.56,5.46,2.34
Robert Luketic,7,0.7,100.08,98.16,208.2,5.93,2.96
Zhang Yimou,6,0.7,116.92,94.09,91.52,6.83,3.73
Jean-Jacques Annaud,8,0.69,86.24,87.09,128.32,6.84,3.6
Alan J. Pakula,7,0.69,98.55,70.6,366.19,6.44,3.49
Anne Fletcher,5,0.69,137.07,114.19,406.32,6.06,2.67
John Singleton,9,0.68,75.98,57.5,186.56,6.52,2.65
William Friedkin,11,0.66,59.67,17.04,936.98,6.41,3.63
Keenen Ivory Wayans,5,0.66,132.66,113.09,407.08,5.8,2.6
Gary Trousdale,3,0.66,221.18,186.05,488.19,7.0,3.48
Jonathan Demme,8,0.65,81.47,31.41,434.99,6.98,3.46
Jaume Collet-Serra,6,0.65,109.1,95.33,250.86,6.33,3.03
Rawson Marshall Thurber,3,0.65,218.23,216.97,567.42,6.4,2.95
Stephen Herek,9,0.64,71.59,40.49,233.53,6.13,3.04
Roger Spottiswoode,8,0.64,80.13,52.04,9.86,6.02,2.66
Martin Brest,5,0.64,127.82,134.1,468.39,6.34,3.11
John Madden,8,0.63,79.23,53.87,441.02,6.39,3.56
David Dobkin,5,0.63,126.1,88.32,159.99,6.2,3.15
Nicholas Stoller,5,0.63,125.21,105.17,411.17,5.96,3.2
Seth Gordon,4,0.63,158.14,168.85,223.44,5.85,1.97
Ben Stiller,6,0.62,102.64,81.8,89.31,6.08,3.14
Steve Carr,6,0.62,103.41,112.13,241.16,5.72,1.98
John Moore,5,0.62,124.4,91.75,165.6,5.48,2.03
Judd Apatow,5,0.62,123.77,109.45,277.41,5.9,3.07
Walt Becker,4,0.62,154.47,162.99,414.5,5.62,1.98
Timur Bekmambetov,7,0.61,87.7,55.64,450.92,5.79,3.39
Neill Blomkamp,3,0.6,200.45,210.82,288.2,6.77,3.19
Duncan Jones,3,0.59,196.92,147.33,208.89,7.0,4.05
Richard Marquand,3,0.59,198.27,18.0,1670.32,6.87,4.28
David Zucker,6,0.58,96.44,82.84,285.03,5.8,3.13
Harald Zwart,4,0.58,145.77,83.22,318.52,5.7,2.81
Harold Ramis,8,0.57,71.14,61.88,180.77,5.98,2.87
John G. Avildsen,10,0.56,55.77,34.44,16982175.05,5.66,2.94
Andy Fickman,6,0.55,91.24,106.95,229.42,5.77,2.35
Gavin Hood,5,0.55,110.39,24.75,85.21,6.62,3.37
John Lee Hancock,5,0.55,109.43,75.6,275.89,6.76,3.63
Tarsem Singh,5,0.55,109.65,104.16,137.72,6.24,2.96
Morten Tyldum,3,0.55,184.13,233.56,871.92,7.3,4.14
Peter Hyams,11,0.54,48.93,27.05,21.74,5.66,2.99
Guy Hamilton,8,0.54,67.37,55.98,1991.24,6.45,3.64
Joe Wright,6,0.54,90.54,95.04,142.93,6.78,2.84
Anthony Minghella,4,0.54,135.69,150.91,366.72,6.78,2.84
P.J. Hogan,4,0.54,136.18,115.15,321.1,6.58,3.27
James Bobin,3,0.54,181.65,165.18,134.65,6.4,3.34
Neil Burger,3,0.54,179.17,161.85,285.48,7.03,3.43
Roger Michell,7,0.53,76.07,8.89,216.7,6.1,2.82
Nick Cassavetes,5,0.53,105.13,102.24,273.41,6.92,2.83
Curtis Hanson,6,0.52,86.56,85.56,313.82,6.15,3.48
Donald Petrie,7,0.51,72.89,36.85,97.64,5.57,2.78
James Foley,7,0.51,72.86,15.16,72.77,6.11,3.38
Kelly Asbury,3,0.51,169.82,189.71,236.27,6.47,2.34
Kevin Costner,3,0.51,170.04,68.3,653.56,6.9,3.16
Lewis Gilbert,3,0.51,169.11,185.44,939.23,6.33,3.68
Taylor Hackford,5,0.5,99.17,124.73,137.4,6.62,3.72
Catherine Hardwicke,4,0.5,124.95,51.29,289.28,6.28,2.87
Dominic Sena,5,0.49,97.4,88.1,37.03,5.84,2.71
Jim Abrahams,5,0.49,97.79,83.45,851.48,6.36,3.17
Mark Dindal,3,0.49,162.44,169.33,30.03,6.63,3.11
Walter Hill,15,0.48,32.01,15.8,87.71,6.21,2.76
John Badham,7,0.47,67.84,42.31,1832.53,6.3,3.38
Robert Wise,7,0.47,67.85,14.0,652.9,6.63,3.33
James L. Brooks,4,0.47,117.28,53.15,148.49,6.18,3.44
Jason Reitman,6,0.46,77.26,23.87,785.08,6.58,3.15
Mark Steven Johnson,5,0.46,92.58,36.7,76.31,5.54,2.71
Darren Lynn Bousman,4,0.46,114.09,146.14,2185.14,6.25,3.01
Terry Gilliam,10,0.45,44.79,26.29,227.45,6.72,3.38
Stanley Kubrick,9,0.45,49.61,44.02,376.15,7.7,3.86
