director,receita_total_bi,nota_metadata_media,nota_usuarios_media,qtd_filmes
Rian Johnson,0.06,6.73,3.33,3
Mike Leigh,0.06,6.86,3.72,5
Don Taylor,0.06,6.17,2.56,3
Martha Coolidge,0.06,6.02,3.38,5
Mario Van Peebles,0.05,6.47,3.25,3
Brian G. Hutton,0.05,6.77,2.94,3
Shari Springer Berman,0.05,6.37,3.08,3
Graham Baker,0.05,5.27,2.86,3
Douglas McGrath,0.05,6.03,2.41,3
David Mackenzie,0.05,6.52,3.25,6
Albert Pyun,0.05,4.88,,4
James Fargo,0.05,6.23,4.3,3
Andrew Dominik,0.05,6.5,3.44,3
Michael Schultz,0.05,5.4,4.0,4
Carol Reed,0.05,7.1,3.91,3
Richard Eyre,0.05,6.33,2.75,3
Cédric Klapisch,0.05,6.77,3.42,3
David Seltzer,0.05,5.9,3.74,3
Daniel Barnz,0.05,5.97,3.25,3
Bob Rafelson,0.05,5.5,2.5,3
Daniel Petrie,0.05,5.82,2.44,5
Dennis Hopper,0.05,5.9,2.63,3
Jaume Balagueró,0.05,6.27,3.33,3
Cary Fukunaga,0.05,7.3,4.08,3
Greg McLean,0.05,5.5,3.0,3
Fatih Akin,0.05,6.97,4.58,3
John Irvin,0.05,5.67,2.0,3
John Derek,0.05,3.23,0.5,3
Rakeysh Omprakash Mehra,0.04,6.7,,3
Howard Hawks,0.04,7.3,3.58,7
Nicole Holofcener,0.04,6.0,2.83,3
Jocelyn Moorhouse,0.04,6.57,3.39,3
Gautham Vasudev Menon,0.04,7.27,,3
Anand Tucker,0.04,6.33,3.66,3
John Hough,0.04,5.9,3.25,4
Barry W. Blaustein,0.04,6.2,2.38,3
Sergio Leone,0.04,7.9,3.96,4
Jeff Nichols,0.04,6.7,3.23,4
Paul Schrader,0.04,5.94,3.39,8
Stewart Hendler,0.04,5.53,,3
John Sturges,0.04,7.1,3.82,5
George T. Miller,0.04,6.03,3.24,3
Rod Lurie,0.04,6.47,2.8,3
Michael Curtiz,0.04,7.14,4.0,5
J.C. Chandor,0.04,6.6,3.5,3
Mary Harron,0.04,6.2,3.74,4
Joe Roth,0.04,5.53,1.0,3
Ashutosh Gowariker,0.04,7.17,3.69,3
Dito Montiel,0.04,5.82,3.5,5
François Ozon,0.04,6.85,3.7,4
Robert Mandel,0.04,6.6,3.72,3
Peter Sollett,0.04,7.1,3.14,3
Frank Capra,0.04,7.62,3.99,5
Dmitriy Dyachenko,0.04,6.57,,3
Richard Kelly,0.03,6.1,3.43,3
Peter Medak,0.03,5.73,3.3,3
Ken Annakin,0.03,6.33,3.25,3
Ken Loach,0.03,6.88,2.0,6
Paolo Sorrentino,0.03,7.05,3.0,4
Don Coscarelli,0.03,6.27,3.94,3
Hal Ashby,0.03,5.6,4.09,3
Isabel Coixet,0.03,6.6,3.62,4
George Sidney,0.03,7.02,3.5,4
Julian Schnabel,0.03,6.45,3.58,4
Noah Baumbach,0.03,6.57,3.28,6
Costa-Gavras,0.03,6.86,3.69,5
Randall Miller,0.03,6.38,3.15,4
James Ponsoldt,0.03,6.45,3.88,4
Prachya Pinkaew,0.03,6.43,3.5,3
Sarik Andreasyan,0.03,3.97,,3
Ferzan Ozpetek,0.03,6.98,,4
Mike Hodges,0.03,5.83,3.04,3
Marius Balchunas,0.03,4.87,,3
Uli Edel,0.03,5.2,1.75,3
Ram Gopal Varma,0.03,5.95,,4
Asif Kapadia,0.03,6.9,3.8,3
Bernard Rose,0.03,6.2,3.06,5
Terry Jones,0.03,6.1,4.43,3
Stacy Title,0.03,5.27,2.42,3
Uwe Boll,0.03,3.17,0.75,3
Charlie Chaplin,0.03,7.67,4.18,6
Robert Greenwald,0.03,4.9,3.25,3
Elia Kazan,0.03,7.48,4.0,4
Henry Hathaway,0.02,6.7,3.18,3
Martin Davidson,0.02,6.23,3.42,3
David Mamet,0.02,6.55,3.8,4
Werner Herzog,0.02,6.9,3.45,4
Christopher Guest,0.02,6.13,3.56,3
Mike Judge,0.02,6.47,3.23,3
John Waters,0.02,6.1,3.52,4
Tony Kaye,0.02,7.87,4.51,3
Aaron Norris,0.02,4.92,3.0,4
Steve Carver,0.02,5.88,,4
Richard Rich,0.02,5.6,2.6,4
Wim Wenders,0.02,6.54,3.5,7
Michael Winterbottom,0.02,6.35,4.0,4
Julie Delpy,0.02,5.67,2.5,3
Michael Dowse,0.02,6.62,3.56,4
Kazuaki Kiriya,0.02,6.23,1.5,3
Mamoru Oshii,0.02,7.3,4.03,3
James Toback,0.02,4.9,2.94,4
Louis Malle,0.02,7.0,3.68,3
Jesse Peretz,0.02,4.63,3.67,3
Takashi Miike,0.02,6.4,2.9,3
Priyadarshan,0.02,5.43,,3
Shinji Aramaki,0.02,6.7,4.5,3
Franc Roddam,0.02,5.87,,3
Susanne Bier,0.02,6.1,,4
Pablo Larraín,0.02,6.55,,4
John Sayles,0.02,7.03,3.87,3
John Curran,0.02,6.0,3.0,3
Michael Polish,0.02,5.6,3.0,4
Robert Mulligan,0.02,7.17,3.71,3
Andrew Lau,0.02,6.35,4.17,4
Atom Egoyan,0.01,6.48,3.1,4
Jay Oliva,0.01,6.27,,3
Sam Liu,0.01,6.37,,3
Gillian Armstrong,0.01,5.97,1.67,3
Mike Mills,0.01,6.77,3.0,3
Deepa Mehta,0.01,5.92,4.0,5
Adam Rifkin,0.01,6.07,3.0,3
Corey Yuen Kwai,0.01,5.86,4.0,5
Edward Burns,0.01,5.63,2.7,3
Stuart Gordon,0.01,6.2,3.77,4
Ryan Fleck,0.01,6.43,3.38,3
Stewart Raffill,0.01,4.17,,3
Kim Ki-duk,0.01,7.0,3.29,5
Teddy Chan,0.01,6.3,,3
Henry King,0.01,5.77,4.75,3
Vincente Minnelli,0.01,6.87,3.48,3
Steve James,0.01,6.3,3.42,5
Jeff Burr,0.01,5.9,3.25,3
Larry Clark,0.01,6.63,3.82,3
Abel Ferrara,0.01,6.13,3.36,7
Michael Corrente,0.01,5.87,3.03,3
Terence Davies,0.01,6.57,3.38,3
Scott McGehee,0.01,6.2,3.12,3
Arnaud Desplechin,0.01,6.53,,3
Darrell James Roodt,0.01,5.73,2.46,3
Udayan Prasad,0.01,5.37,2.0,3
Rodman Flender,0.01,5.7,2.93,3
Anurag Kashyap,0.01,6.5,,3
Roger Corman,0.01,6.45,3.67,4
Agnieszka Holland,0.01,7.0,3.0,3
Drake Doremus,0.01,6.17,,3
Dominik Moll,0.01,6.47,4.0,3
Alex Cox,0.01,6.7,4.05,3
Andrea Arnold,0.01,6.42,4.25,4
Eloy de la Iglesia,0.0,5.81,,7
Akira Kurosawa,0.0,8.05,4.36,4
Mamoru Hosoda,0.0,7.7,3.94,3
Lynn Shelton,0.0,5.93,3.33,3
Michael Cuesta,0.0,6.77,3.5,3
Ben Wheatley,0.0,6.07,3.38,6
Clarence Brown,0.0,5.67,,3
Olivier Assayas,0.0,6.25,,4
Oren Moverman,0.0,5.5,3.5,4
Xavier Dolan,0.0,7.77,,3
Sterling Van Wagenen,0.0,6.6,,3
Mike Cahill,0.0,6.93,3.42,3
Jamie Babbit,0.0,6.2,3.2,3
Tod Browning,0.0,6.4,4.11,3
Godfrey Reggio,0.0,7.07,2.81,3
Aleksey Balabanov,0.0,6.55,,4
Gregg Araki,0.0,6.18,3.07,6
Alex Gibney,0.0,6.52,4.25,4
Cristian Mungiu,0.0,7.1,4.38,3
Abderrahmane Sissako,0.0,5.77,,3
Gaspar Noé,0.0,6.5,4.21,3
Jean-Luc Godard,0.0,7.17,4.14,6
Kirby Dick,0.0,6.93,4.1,3
Satyajit Ray,0.0,8.0,4.06,3
Jim Mickle,0.0,6.0,3.0,3
François Truffaut,0.0,7.5,4.17,3
Bruce McDonald,0.0,6.5,3.88,3
Ti West,0.0,5.57,2.75,3
Ulrich Seidl,0.0,6.43,,3
