director,receita_total_bi,nota_metadata_media,nota_usuarios_media,qtd_filmes
Francis Ford Coppola,0.95,6.96,3.39,14
Lasse Hallström,0.95,6.74,3.49,13
Brad Peyton,0.95,5.45,2.58,4
Robert Schwentke,0.93,6.15,2.5,6
Tom Hooper,0.92,7.4,3.75,3
Christopher McQuarrie,0.92,6.6,3.23,3
Paul Feig,0.91,6.3,2.49,4
Andrew Davis,0.89,6.02,3.12,9
Andy Tennant,0.89,6.0,3.04,6
John Glen,0.89,5.82,3.38,6
D.J. Caruso,0.88,6.17,3.36,7
Alejandro González Iñárritu,0.88,7.25,3.75,6
Adam Shankman,0.87,6.04,3.08,8
Olivier Megaton,0.87,6.15,1.93,4
Gary Ross,0.86,6.77,3.6,3
Peter Weir,0.86,6.95,3.7,10
Nora Ephron,0.86,5.94,3.13,5
Adam McKay,0.86,6.47,3.35,6
Betty Thomas,0.85,5.7,2.91,5
Wes Craven,0.85,5.97,3.09,15
Adrian Lyne,0.84,6.32,3.27,8
John Landis,0.84,6.47,3.29,10
Mark Waters,0.82,5.96,2.97,9
Brian Levant,0.82,5.2,2.48,6
Chuck Russell,0.81,6.06,2.77,5
Kevin Reynolds,0.81,6.37,3.14,7
Mike Nichols,0.81,6.79,3.86,10
Danny Boyle,0.8,6.95,3.57,10
David Frankel,0.79,6.33,3.05,7
Len Wiseman,0.79,6.3,3.14,4
David Slade,0.78,6.3,2.91,3
Luc Besson,0.78,6.63,3.35,11
Roger Donaldson,0.78,6.05,3.03,12
Brad Silberling,0.77,6.27,2.99,6
Alex Proyas,0.77,6.46,3.33,5
David O. Russell,0.77,6.72,3.33,6
Irvin Kershner,0.76,6.32,3.22,4
Cameron Crowe,0.76,6.52,3.62,8
Darren Aronofsky,0.76,6.98,3.46,6
Baz Luhrmann,0.76,6.78,3.31,5
Stephen Chow,0.74,6.52,3.68,4
Garth Jennings,0.74,6.7,3.4,3
Jerry Zucker,0.74,6.45,3.34,4
Lee Tamahori,0.74,6.2,3.07,7
Jonathan Mostow,0.74,6.12,3.04,4
Tim Hill,0.72,5.46,2.34,5
Louis Leterrier,0.72,6.3,2.97,7
Zhang Yimou,0.7,6.83,3.73,6
Robert Luketic,0.7,5.93,2.96,7
Jean-Jacques Annaud,0.69,6.84,3.6,8
Alan J. Pakula,0.69,6.44,3.49,7
Anne Fletcher,0.69,6.06,2.67,5
John Singleton,0.68,6.52,2.65,9
Gary Trousdale,0.66,7.0,3.48,3
Keenen Ivory Wayans,0.66,5.8,2.6,5
William Friedkin,0.66,6.41,3.63,11
Rawson Marshall Thurber,0.65,6.4,2.95,3
Jaume Collet-Serra,0.65,6.33,3.03,6
Jonathan Demme,0.65,6.98,3.46,8
Stephen Herek,0.64,6.13,3.04,9
Roger Spottiswoode,0.64,6.02,2.66,8
Martin Brest,0.64,6.34,3.11,5
John Madden,0.63,6.39,3.56,8
Seth Gordon,0.63,5.85,1.97,4
David Dobkin,0.63,6.2,3.15,5
Nicholas Stoller,0.63,5.96,3.2,5
John Moore,0.62,5.48,2.03,5
Steve Carr,0.62,5.72,1.98,6
Judd Apatow,0.62,5.9,3.07,5
Walt Becker,0.62,5.62,1.98,4
Ben Stiller,0.62,6.08,3.14,6
Timur Bekmambetov,0.61,5.79,3.39,7
Neill Blomkamp,0.6,6.77,3.19,3
Richard Marquand,0.59,6.87,4.28,3
Duncan Jones,0.59,7.0,4.05,3
Harald Zwart,0.58,5.7,2.81,4
David Zucker,0.58,5.8,3.13,6
Harold Ramis,0.57,5.98,2.87,8
John G. Avildsen,0.56,5.66,2.94,10
Morten Tyldum,0.55,7.3,4.14,3
Gavin Hood,0.55,6.62,3.37,5
Tarsem Singh,0.55,6.24,2.96,5
Andy Fickman,0.55,5.77,2.35,6
John Lee Hancock,0.55,6.76,3.63,5
James Bobin,0.54,6.4,3.34,3
P.J. Hogan,0.54,6.58,3.27,4
Joe Wright,0.54,6.78,2.84,6
Anthony Minghella,0.54,6.78,2.84,4
Guy Hamilton,0.54,6.45,3.64,8
Peter Hyams,0.54,5.66,2.99,11
Neil Burger,0.54,7.03,3.43,3
Roger Michell,0.53,6.1,2.82,7
Nick Cassavetes,0.53,6.92,2.83,5
Curtis Hanson,0.52,6.15,3.48,6
Donald Petrie,0.51,5.57,2.78,7
Kevin Costner,0.51,6.9,3.16,3
James Foley,0.51,6.11,3.38,7
Kelly Asbury,0.51,6.47,2.34,3
Lewis Gilbert,0.51,6.33,3.68,3
Catherine Hardwicke,0.5,6.28,2.87,4
Taylor Hackford,0.5,6.62,3.72,5
Jim Abrahams,0.49,6.36,3.17,5
Mark Dindal,0.49,6.63,3.11,3
Dominic Sena,0.49,5.84,2.71,5
Walter Hill,0.48,6.21,2.76,15
Robert Wise,0.47,6.63,3.33,7
John Badham,0.47,6.3,3.38,7
James L. Brooks,0.47,6.18,3.44,4
Jason Reitman,0.46,6.58,3.15,6
Mark Steven Johnson,0.46,5.54,2.71,5
Darren Lynn Bousman,0.46,6.25,3.01,4
Terry Gilliam,0.45,6.72,3.38,10
Emile Ardolino,0.45,6.4,3.2,3
Stanley Kubrick,0.45,7.7,3.86,9
Gus Van Sant,0.44,6.49,3.61,11
Ben Affleck,0.44,6.88,3.83,4
Tyler Perry,0.44,6.29,2.25,9
Jon Amiel,0.44,6.0,3.1,4
Victor Fleming,0.44,7.03,4.0,3
David R. Ellis,0.44,5.57,2.42,6
Wes Anderson,0.44,7.38,3.84,8
Henry Joost,0.44,6.04,2.72,5
Herbert Ross,0.43,6.54,3.39,7
Tony Gilroy,0.43,6.1,3.12,3
Peter Chelsom,0.43,6.12,2.88,6
Edgar Wright,0.43,7.2,3.78,5
Brian Helgeland,0.43,6.32,3.21,5
Sean Anders,0.43,5.85,2.69,4
George P. Cosmatos,0.42,5.86,2.78,5
Mick Jackson,0.42,6.13,2.79,3
Stephen Hopkins,0.42,6.01,3.12,9
Denis Villeneuve,0.42,7.38,3.27,5
Penny Marshall,0.42,6.52,3.52,6
Les Mayfield,0.42,5.6,2.82,7
Jimmy Hayward,0.42,5.5,2.6,3
Joe Dante,0.42,6.36,3.14,9
Alexander Payne,0.41,6.9,3.7,5
Frank Darabont,0.41,7.5,3.9,4
Jeff Tremaine,0.41,6.22,3.31,4
Joseph Ruben,0.4,5.84,2.86,7
Clyde Geronimi,0.4,6.87,3.63,3
Neil Jordan,0.4,6.53,3.4,9
Baltasar Kormákur,0.4,6.42,2.76,4
Stephen Frears,0.4,6.43,3.85,11
Roman Polanski,0.39,7.02,3.77,11
Spike Lee,0.39,6.55,3.37,13
Phil Alden Robinson,0.38,6.57,3.43,3
Amy Heckerling,0.38,6.12,3.28,4
John Hamburg,0.38,6.2,3.12,3
Michael Lembeck,0.38,5.52,2.0,4
Norman Jewison,0.38,6.87,3.66,10
Will Gluck,0.38,6.3,3.49,4
Bruce Beresford,0.38,6.0,3.28,8
George Roy Hill,0.37,6.85,3.92,6
Hal Needham,0.37,6.12,2.62,6
Paul Weitz,0.37,5.55,2.5,6
Mikael Håfström,0.37,6.28,3.11,4
Blake Edwards,0.37,5.84,3.34,17
Richard Curtis,0.37,7.33,3.84,3
Robert Redford,0.37,6.37,2.73,6
Randal Kleiser,0.37,6.05,2.78,6
Michael Haigney,0.37,6.37,2.27,3
